@relation applelaptops 

@attribute productFamily {MacBookPro,MacBook,MacBookAir,MacBookProwithRetinadisplay}
@attribute operatingSystem {MacOSX10.10-Yosemite,MacOSX10.7-Lion,MacOSX10.6-SnowLeopard,MacOSX10,10.10,AppleMacOSX10.7,MacOSX,MacOSX10.9-Mavericks,MacOSX10.8-MountainLion,AppleMacOSX10.5,MacOSX10.5-Leopard,AppleMacOSX10.10-Yosemite,MacOSXYosemite,AllCurrentOS10.10.4oraskIcanloadolderOS,AppleMacOS,MacOSX10.9}
@attribute processorType {IntelCorei52ndGen.,IntelCorei5,IntelCore2Duo,IntelCorei54thGen.,Intel,IntelCorei72ndGen.,Corei7,Quad-coreIntelCorei7,IntelCorei74thGen.,IntelCorei75thGen.,I7,IntelCorei55thGen.,IntelCorei7,IntelCorei71stGen.,IntelQuadCorei7,IntelCorei73rdGen.,IntelDualCore}
@attribute screenSize NUMERIC
@attribute memory NUMERIC
@attribute hardDriveCapacity NUMERIC
@attribute processorSpeed NUMERIC
@attribute productPrice NUMERIC

@data
MacBookPro,MacOSX10.10-Yosemite,IntelCorei52ndGen.,13,4,320,230,380.0
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,669.99
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,669.99
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,669.99
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,669.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,269.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,269.99
MacBookPro,MacOSX10,IntelCorei5,13.3,8,256,270,1499.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,226,259.99
MacBookAir,MacOSX10.10-Yosemite,IntelCorei54thGen.,13.3,4,128,166,925.0
MacBookAir,MacOSX10.10-Yosemite,IntelCorei54thGen.,13.3,4,128,166,925.0
MacBookPro,10.10,Intel,15.4,16,500,220,457.52
MacBookPro,AppleMacOSX10.7,Intel,15.4,4,500,220,600.0
MacBookPro,AppleMacOSX10.7,Intel,15.4,4,500,220,600.0
MacBookAir,MacOSX,IntelCorei5,13.3,4,128,166,948.99
MacBookPro,MacOSX10.9-Mavericks,IntelCorei72ndGen.,15.4,16,750,260,910.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei72ndGen.,17,16,1,240,1449.0
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,799.99
MacBookPro,MacOSX10.8-MountainLion,Corei7,15.4,8,500,266,529.99
MacBookPro,MacOSX10.8-MountainLion,Corei7,15.4,8,500,266,529.99
MacBookPro,MacOSX10.10-Yosemite,Quad-coreIntelCorei7,15.4,16,256,220,1799.99
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,795.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei74thGen.,15.4,16,256,230,675.0
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,2,160,213,125.0
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,2,160,213,125.0
MacBookPro,MacOSX,IntelCorei75thGen.,15.4,16,512,250,2199.77
MacBook,AppleMacOSX10.5,IntelCore2Duo,13.3,2,160,213,199.0
MacBook,AppleMacOSX10.5,IntelCore2Duo,13.3,2,160,213,199.0
MacBookPro,MacOSX10.5-Leopard,IntelCore2Duo,15.4,4,500,280,256.01
MacBookPro,MacOSX,IntelCorei75thGen.,15.4,16,256,220,1869.77
MacBookPro,MacOSX,IntelCorei75thGen.,15.4,16,256,220,1869.77
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,189.0
MacBookPro,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,500,240,480.0
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,250,226,295.0
MacBookPro,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,500,226,529.0
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,180,599.99
