@relation applelaptops 

@attribute productFamily {MacBookPro,MacBook,MacBookAir,Macbook}
@attribute operatingSystem {MacOSX10.7-Lion,MacOSX10.6-SnowLeopard,MacOSX10,MacOSX,MacOSX10.5-Leopard,MacOSX10.10-Yosemite,AppleMacOSX10.7,AppleMacOSX10.5,OSX:10.10.5,AppleMacOSX10.6,MacOSX10.4-Tiger,MacOSXYosemite,MacOSX10.10-4Yosemite,MacOSX10.9-Mavericks,AppleMacOSX10.4,MacOSX10.10.3-Yosemite,YOSEMITE10.10,MacOSXYOSEMITE10.10.3JUNE2015iLifeiWork,MacOSX10.8-MountainLion,AppleMacOSX,MacOSX10.9.4-Mavericks,OSX10.9.5,MacOSX10.10,AppleMacOSXMavericks,MacOSX10.10-3Yosemite,MacOSX10.9.5,Yosemite,OSXYosemite,MacOSYosemite,MacOSXYosemite10.10.4(TheLatest2015,OSX10.5,MacOSX10.9orOSX10.8,10.10.5,Silver,MacOSX10.7.5,MacOSX10.10Yosemite,OSX10.10Yosemite,MacOSX10.9.1,MacOSX10.9,osx,NotIncluded,MacOSX10.10.4-Yosemite,MacOSX10.6.3,MACOSX10.10.4Yosemite,MACOSX10.10.3YOSEMITE,MacOSX10.10.4Yosemite,Leopard}
@attribute processorType {IntelCorei5,IntelCore2Duo,Intel,IntelCorei72ndGen.,IntelCorei75thGen.,IntelCorei71stGen.,IntelCorei7,IntelCorei54thGen.,IntelCorei55thGen.,INTELCOREI7,IntelDualCorei7,IntelCoreI-54260U,IntelCorei51stGen.,IntelQuadCorei7,IntelCorei74thGen.,IntelCoreDuo,IntelCorei73rdGen.,IntelCorei52ndGen.,Core2Duo,IntelCorei53rdGen.,IntelQuad-Corei7,IntelCorei33rdGen.,IntelCoreM,IntelDualCore,IntelCorei7-3615QM,Corei7,IntelCorei54thGen,INTELCOREI5,Inteli7,inteli5processorwithboostspeedTechnology,IntelDual-Corei7,I7,500GB,IntelCorei5.,QUADCORE,I5,Corei5,IntelDual-Corei5,corei7,INTELCORE5,i5}
@attribute screenSize NUMERIC
@attribute memory NUMERIC
@attribute hardDriveCapacity NUMERIC
@attribute processorSpeed NUMERIC
@attribute productPrice NUMERIC

@data
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,669.99
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,669.99
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,669.99
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,669.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,226,259.99
MacBookPro,MacOSX10,IntelCorei5,13.3,8,256,270,1499.99
MacBookPro,MacOSX10,IntelCorei5,13.3,8,256,270,1499.99
MacBookAir,MacOSX,IntelCorei5,13.3,4,128,166,948.99
MacBook,MacOSX10.5-Leopard,IntelCore2Duo,13.3,2,160,200,300.0
MacBook,MacOSX10.5-Leopard,IntelCore2Duo,13.3,2,160,200,300.0
MacBook,MacOSX10.5-Leopard,IntelCore2Duo,13.3,2,160,200,300.0
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,250,226,295.0
MacBookPro,AppleMacOSX10.7,Intel,15.4,4,500,220,699.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei72ndGen.,17,16,1,240,1449.0
MacBookPro,MacOSX,IntelCorei75thGen.,15.4,16,512,250,2199.77
MacBookPro,AppleMacOSX10.5,IntelCore2Duo,13.3,2,160,226,222.5
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,250,240,349.99
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,250,240,349.99
MacBook,AppleMacOSX10.5,IntelCore2Duo,13.3,2,160,213,194.99
MacBookPro,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,500,226,549.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei5,13.3,8,1,250,680.0
MacBookPro,MacOSX10.7-Lion,Intel,13.3,4,500,240,435.0
MacBookPro,MacOSX,IntelCorei75thGen.,15.4,16,256,220,1869.77
MacBookPro,OSX:10.10.5,IntelCorei71stGen.,15.4,4,500,200,599.99
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,170,547.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei75thGen.,15.4,16,1,28,2910.0
MacBookPro,MacOSX10.7-Lion,Intel,15.4,4,750,240,799.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,4,250,240,236.55
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,4,250,240,236.55
MacBookPro,MacOSX10.7-Lion,IntelCorei7,15.4,8,256,230,775.0
MacBookPro,MacOSX,IntelCorei75thGen.,15.4,16,512,250,2215.0
MacBookPro,AppleMacOSX10.6,IntelCore2Duo,13.3,4,320,266,415.0
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,160,213,199.99
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,160,213,199.99
MacBook,MacOSX10.4-Tiger,Intel,13.3,512,60,183,109.99
MacBookPro,MacOSX,IntelCorei54thGen.,13.3,8,128,270,1225.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei72ndGen.,13.3,4,250,280,510.0
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,490.99
MacBookPro,MacOSX10.7-Lion,IntelCorei5,13.3,4,500,250,679.99
MacBookPro,MacOSX10.7-Lion,IntelCorei7,15.4,8,750,260,1029.99
MacBookPro,MacOSX10.7-Lion,IntelCorei7,15.4,8,750,260,1029.99
MacBookAir,MacOSXYosemite,IntelCorei55thGen.,13.3,4,128,160270,949.99
MacBookAir,MacOSXYosemite,IntelCorei55thGen.,13.3,4,128,160270,949.99
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,170,579.99
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,128,170,579.99
MacBookPro,MacOSX10.10-Yosemite,IntelCorei72ndGen.,13.3,16,1,270,899.0
MacBookPro,MacOSX10.6-SnowLeopard,Intel,13.3,4,500,270,599.0
MacBookPro,MacOSX10.6-SnowLeopard,Intel,13.3,4,500,270,599.0
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,2,250,240,295.0
MacBookPro,MacOSX10.6-SnowLeopard,Intel,13.3,4,500,270,669.99
MacBookPro,MacOSX10.10-4Yosemite,INTELCOREI7,13.3,816003,51,290,900.0
MacBookPro,MacOSX10.10-Yosemite,IntelCorei55thGen.,13.3,8,256,270,1299.0
MacBookAir,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,128,213,599.0
MacBookAir,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,128,213,599.0
MacBook,AppleMacOSX10.5,IntelCore2Duo,13.3,2,160,213,169.0
MacBookPro,MacOSX10.9-Mavericks,IntelCore2Duo,13,4,250,240,500.0
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,2,250,240,225.0
