@relation applelaptops

@attribute productFamily {MacBookPro,MacBook,MacBookAir,Macbook,MacBookProA1286}
@attribute operatingSystem {MacOSX10.7-Lion,MacOSX10.10-Yosemite,MacOSX10.6-SnowLeopard,MacOSX10,MacOSX10.9-Mavericks,MacOSX10.8-MountainLion,MacOSX,AppleMacOSX10.5,AppleMacOSX10.7,MacOSXYosemite,OSX10.10Yosemite,AppleMacOSX10.6,MacOSX10.10Yosemite,AppleMacOS,MacOSX10.10.3-Yosemite,MacOSX10.5-Leopard,OSXYosemite,MacOSX10.10,MacOSX10.4-Tiger,MacOSX10.9,AppleMacOSX,MacOSX10.9-5Mavericks,Yosemite,SnowLeopard10.6.3,MacOSXMavericks,MacOSX10.8.5MountainLion,NotIncluded,MacOSX10.10.5-Yosemite,MacOSXv10.10Yosemite,AppleMacOSXMavericks}
@attribute processorType {IntelCorei5,Intel,IntelCore2Duo,IntelCorei74thGen.,Corei7,IntelCorei54thGen.,IntelCorei52ndGen.,Quad-coreIntelCorei7,IntelCorei55thGen.,IntelCorei72ndGen.,IntelCorei51stGen.,IntelCorei75thGen.,IntelCorei53rdGen.,IntelCorei73rdGen.,IntelCorei7,IntelCorei71stGen.,IntelDualCore,IntelQuad-Corei7(i7-3615QM),Core2Duo,IntelQuad-Corei7,QuadCorei7,QUADCORE,IntelCorei51st(Broadwell),IntelQuadCorei7,IntelCorei33rdGen.,Inteli5,IntelDual-Corei5,IntelCoreM,Inteli7,IntelCorei7QuadCore,IntelCoreDuo,i5,IntelDual-Corei7,COREi7}
@attribute screenSize numeric
@attribute memory numeric
@attribute hardDriveCapacity numeric
@attribute processorSpeed numeric
@attribute productPrice numeric

@data
MacBookAir,MacOSX10.7-Lion,IntelCorei5,11.6,4,128,160,451.24
MacBookPro,MacOSXMavericks,IntelCorei74thGen.,13.3,8,512,280,1499
MacBookPro,MacOSX10.6-SnowLeopard,IntelCorei52ndGen.,13.3,4,320,230,509.74
MacBookPro,MacOSX10.10-Yosemite,IntelCorei52ndGen.,15.4,8,1,253,749
MacBookPro,MacOSX10.7-Lion,Intel,13.3,4,500,240,500
MacBookPro,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,4,320,240,504.99
MacBookPro,MacOSX10.10-Yosemite,IntelCore2Duo,15.4,4,500,240,359
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,250,240,319.99
MacBook,MacOSX10.10-Yosemite,IntelCore2Duo,13.3,4,250,240,359.99
MacBook,MacOSX10.5-Leopard,IntelCore2Duo,13.3,4,250,240,125
MacBookPro,AppleMacOSX10.7,Intel,15.4,4,500,220,699.99
MacBookPro,MacOSX10.10-Yosemite,IntelCore2Duo,17,4,1,25,479.97
MacBookPro,AppleMacOSX10.5,IntelCore2Duo,13.3,2,160,226,375
MacBookPro,AppleMacOS,Intel,15.4,4,500,200,627
MacBookPro,MacOSX10.10-Yosemite,IntelQuad-Corei7,17,16,512,23,1329
MacBookAir,MacOSX10.7-Lion,Intel,13.3,4,256,170,659.99
MacBookPro,MacOSX10.7-Lion,IntelCorei7,13.3,8,750,290,749.99
MacBookPro,AppleMacOSXMavericks,Intel,15.4,16,512,230,1549.99
MacBook,MacOSX10.6-SnowLeopard,IntelCore2Duo,13.3,4,250,240,208.99
MacBook,AppleMacOSX10.5,IntelCore2Duo,13.3,2,160,213,169
